Id,Label,timeset,latitude,longitude,colabs_total,modularity_class
196699116,Wuhan University of Technology,,30.598944,114.34243,11477,2
70640408,Tehran University of Medical Sciences,,35.69439,51.42151,11349,2
100066346,University of Stuttgart,,48.78232,9.17702,11282,0
115592961,Jiangsu University,,32.193966,119.51917,11200,0
913481162,Wageningen University & Research,,51.97,5.66667,10874,1
91807558,National Cheng Kung University,,23,120.21667,10677,1
23946033,University of Tehran,,35.70347,51.3952,10667,2
150729083,Universidade de Brasília,,-15.77972,-47.92972,10622,2
14243506,Hong Kong Polytechnic University,,22.27832,114.17469,10616,0
1174212,University of Southern California,,34.05223,-118.24368,9946,0
881766915,Nanjing University,,32.05611,118.775,9914,1
153473198,North China Electric Power University,,39.9075,116.39723,9334,0
25757504,China University of Mining and Technology,,34.21466,117.285225,9128,2
12315562,Texas Tech University,,33.58869,-101.864204,8309,0
904495901,Ruhr University Bochum,,51.48165,7.21648,8279,1
170215575,National University of Defense Technology,,28.234095,113.01198,7016,0
879563668,Universidade Estadual Paulista (Unesp),,-23.5475,-46.63611,6754,1
149899117,Max Planck Society,,48.13743,11.57549,6679,0
926574661,Leipzig University,,51.33962,12.37129,6629,1
891191580,Aalborg University,,57.048,9.9187,5224,1
11701301,Griffith University,,-27.47061,153.02286,3625,0
12097938,West Virginia University,,39.63582,-79.95453,3410,0
2801280572,Environmental Molecular Sciences Laboratory,,46.28569,-119.28446,1884,1
4210087414,Making View (Norway),,60.79644,11.063399,341,1
4210112217,NamesforLife (United States),,42.73566,-84.47994,30,0
